pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Focal Adhesion,Wikipathways,65,BLK;VEGFC;LAMA2;TNC;COL4A2;COL4A4;HGF;FLNA;COL4A1;FLNC;ERBB2;THBS1;COL6A2;IGF1R;MYL2;VWF;ITGB7;SHC2;VASP;PDGFB;PDGFRA;MYLK3;PDGFRB;SPP1;PAK6;MYLPF;FN1;TESK2;PDGFD;COMP;LAMC3;VTN;PAK1;ACTG1;ITGA8;MYLK2;LAMA4;ITGA6;LAMB1;LAMB2;LAMB3;LAMC1;CHAD;LAMC2;KDR;LAMA5;BCL2;COL5A2;CAV1;CAV2;ITGA3;FGR;ARHGAP35;ITGA5;ITGB4;TNXB;ITGB6;ZYX;ITGB8;VAV1;PAK3;BCAR1;PARVB;COL1A1;COL1A2,198 (198),1.32e-12,6.88e-10,0,,1 (2),1,1,3.75e-11,1.46e-08
Beta3 integrin cell surface interactions,PID,24,COL4A1;COL4A4;TGFBR2;THBS1;VTN;FBN1;THY1;FN1;PDGFB;PDGFRB;SPP1;TNC;PECAM1;PVR;FGA;FGB;LAMA4;LAMB1;LAMC1;KDR;FGG;SDC1;COL1A1;COL1A2,44 (44),1.16e-10,2.26e-08,0,,0 (0),1,1,1.16e-10,2.26e-08
Striated Muscle Contraction Pathway,Wikipathways,22,TPM1;TPM2;VIM;DES;MYH8;MYL1;MYL2;MYL3;MYL4;TMOD1;ACTA1;ACTA2;ACTG1;ACTN2;ACTN3;NEB;TNNI2;TNNT3;TTN;TCAP;MYBPC1;MYBPC2,38 (38),1.44e-10,2.59e-08,0,,0 (0),1,1,1.44e-10,2.59e-08
Focal adhesion - Homo sapiens (human),KEGG,65,VEGFC;COL4A1;TNC;COL4A2;COL4A4;HGF;COL6A1;FLNA;COL6A3;FLNC;ERBB2;THBS1;FLT4;SHC2;VTN;MYL2;VWF;ZYX;MYLK3;VASP;PDGFB;PDGFRA;PDGFRB;SPP1;BCAR1;MYLPF;PDGFD;LAMB2;FN1;KDR;IGF1R;ACTG1;ITGA8;LAMA4;ITGA6;LAMB1;COL6A2;LAMB3;LAMC1;COL6A5;CHAD;LAMC2;LAMC3;COMP;LAMA5;PAK3;PARVB;CAV1;CAV2;ITGA3;PAK6;ARHGAP35;ITGA5;PAK1;ITGB4;TNXB;ITGB6;ITGB7;ITGB8;VAV1;MYLK2;LAMA2;BCL2;COL1A1;COL1A2,201 (201),2.85e-12,1.33e-09,0,,1 (2),1,1,7.86e-11,2.72e-08
Non-integrin membrane-ECM interactions,Reactome,23,HSPG2;DDR1;NTN4;THBS1;VTN;PDGFB;TNC;SDC3;DDR2;LAMA2;LAMA4;FGF2;LAMB1;LAMB2;LAMB3;LAMC1;LAMC2;LAMC3;LAMA5;ITGB4;SDC1;SDC2;ITGA6,42 (42),2.55e-10,4.42e-08,0,,0 (3),1,1,2.55e-10,4.42e-08
Nuclear Receptors Meta-Pathway,Wikipathways,84,TGFB2;AHR;IL11;CYP1A1;TGFBR2;SRXN1;HGF;NRIP1;UGT1A1;THBD;ABCC4;VDR;PDK4;PDE4B;MFGE8;NR1I3;SLC10A1;SLC39A5;IGFBP1;SLC2A9;MGST1;ACADM;PDGFB;SLC6A13;LRRC8A;EGR1;ABCG8;ACKR3;PPP1R14C;SLC2A10;CYP7A1;CYP8B1;HBEGF;ABHD2;ACOX1;GPR153;TGFBR3;ETNK2;CAVIN2;BAAT;ENC1;GPX3;NQO1;SLC6A9;CCL2;CYP1B1;SLC27A5;SCP2;ABCB11;CES4A;SPRY1;ANKRD1;B3GNT5;GPAM;MYOF;APOA5;ALAS1;MAFF;PPARA;PPARD;ABCC2;CPT1A;CPT2;IL1B;EPB41L4B;GCLM;ME1;CDC42EP3;HSPA1A;PLK2;EHHADH;PTGS2;ABCG5;PCK1;SLC2A2;NR1H4;PRDX6;SLC2A4;GGT1;CBR3;EPHA3;SLC5A1;ABCB4;SEC14L1,317 (317),2.67e-10,4.46e-08,0,,0 (0),1,1,2.67e-10,4.46e-08
Striated Muscle Contraction,Reactome,22,TPM1;TPM2;VIM;DES;MYH7;MYH8;MYL1;MYL2;MYL3;MYL4;TMOD1;TMOD4;TMOD2;ACTN2;ACTN3;NEB;TNNI2;TNNT3;TTN;TCAP;MYBPC1;MYBPC2,35 (35),1.43e-11,5.23e-09,0,,4 (5),1,1,3.72e-10,1.07e-07
Platelet degranulation ,Reactome,48,VEGFC;A1BG;TGFB2;MMRN1;QSOX1;HGF;ISLR;FLNA;ORM2;SELENOP;THBS1;TGFB3;VWF;FN1;PDGFB;TIMP3;RAB27B;ITIH3;PECAM1;GAS6;FGA;FGB;AHSG;CD63;LHFPL2;ENDOD1;TMSB4X;TOR4A;CLEC3B;ALB;TAGLN2;ACTN2;FGG;PLG;APOH;APP;ALDOA;HRG;ABCC4;F5;PCDH7;F8;CTSW;F13A1;KNG1;ITIH4;TTN;FERMT3,131 (131),1.45e-11,5.23e-09,0,,9 (9),1,1,3.77e-10,1.07e-07
Metabolism of amino acids and derivatives,Reactome,91,HGD;SERINC2;CDO1;PHYKPL;ACADSB;ACAT1;MAT1A;CHDH;BCKDK;SDSL;PIPOX;BCAT1;GCDH;BCKDHB;UROC1;MCCC2;HAO1;DBT;HNMT;DDC;AHCY;IVD;GLUL;AFMID;CKM;CKMT2;HIBCH;SUOX;HPD;GLDC;GLUD1;AGXT;BHMT2;NQO1;PXMP2;DIO1;ALDH18A1;DLST;SARDH;ALDH9A1;GPT2;BHMT;NNMT;DHTKD1;BBOX1;ALDH6A1;KYNU;SDS;TAT;GOT1;GOT2;MPST;DMGDH;SLC25A21;AMT;HYKK;FAH;IYD;GPT;IDO2;SHMT1;OAT;DDO;SRR;TDO2;CPS1;PAPSS2;HIBADH;CBS;KMO;ARG1;AGXT2;GSTZ1;SLC6A12;SEPHS2;OTC;SEPSECS;AASS;SLC25A13;SLC25A15;ASPA;PAH;KYAT3;CTH;HSD17B10;ADI1;HAL;ACMSD;AADAT;RPL3L;ALDH7A1,339 (339),2.22e-11,7.41e-09,1,HMDB0000128,222 (286),0.847,1,4.82e-10,1.25e-07
Valine_ leucine and isoleucine degradation - Homo sapiens (human),KEGG,26,IVD;HADHA;AGXT2;ABAT;OXCT1;ACADM;HIBCH;ACADSB;ACAT1;EHHADH;BCAT1;ACSF3;BCKDHB;HSD17B10;HMGCS2;MCCC2;HADHB;HADH;DBT;ALDH9A1;ALDH3A2;PCCA;PCCB;ALDH6A1;HIBADH;ALDH7A1,48 (48),2.39e-11,7.46e-09,0,,34 (42),1,1,6.09e-10,1.46e-07
ECM-receptor interaction - Homo sapiens (human),KEGG,37,COL4A1;COL4A2;COL4A4;HSPG2;COL6A2;COL6A3;THBS1;SDC1;VTN;LAMA2;VWF;FN1;SPP1;TNC;COMP;COL6A1;ITGA8;LAMA4;ITGA6;LAMB1;LAMB2;LAMB3;LAMC1;COL6A5;CHAD;LAMC2;LAMC3;LAMA5;ITGA3;ITGA5;ITGB4;TNXB;ITGB6;ITGB7;ITGB8;COL1A1;COL1A2,88 (88),2.98e-11,8.4e-09,0,,1 (1),1,1,7.51e-10,1.6e-07
Tryptophan metabolism - Homo sapiens (human),KEGG,24,AFMID;CYP1A1;CYP1B1;IDO2;GCDH;MAOB;ACAT1;EHHADH;ALDH8A1;KYAT3;CAT;HADHA;TDO2;HADH;DLST;ACMSD;AADAT;ALDH9A1;ALDH3A2;DHTKD1;DDC;KYNU;KMO;ALDH7A1,42 (42),3.05e-11,8.4e-09,0,,59 (83),1,1,7.69e-10,1.6e-07
Saturated fatty acids beta-oxidation,EHMN,18,ACADL;ACADM;ACADSB;HADHA;ACAT1;EHHADH;GCDH;PECR;ACOX1;HSD17B10;ACOX2;ACOX3;HADH;HADHB;SLC25A20;BAAT;ACOT4;HSD17B4,25 (25),3.41e-11,8.87e-09,0,,43 (43),1,1,8.56e-10,1.67e-07
Integrin cell surface interactions,Reactome,31,COL4A1;COL4A2;COL4A4;HSPG2;THBS1;FBN1;COL13A1;COL16A1;COMP;SPP1;TNC;PECAM1;ICAM2;FN1;VTN;FGA;ITGA8;ITGA6;KDR;FGB;FGG;ITGA3;ITGA5;ITGAL;ITGAM;ITGB2;ITGB6;ITGB7;ITGB8;JAM3;JAM2,66 (66),3.78e-11,9.32e-09,0,,1 (2),1,1,9.46e-10,1.73e-07
Valine_ leucine and isoleucine degradation,EHMN,26,IVD;SLC43A2;SLC7A1;ABAT;IARS2;ACADL;ACADM;HIBCH;ACADSB;SLC16A1;EHHADH;SLC38A4;ALDH9A1;BCAT1;BCKDHB;HSD17B10;HADHA;MCCC2;HADHB;HADH;HSD17B4;PCCA;PCCB;ALDH6A1;HIBADH;ALDH7A1,49 (49),4.45e-11,9.91e-09,0,,52 (62),1,1,1.1e-09,1.91e-07
Response to elevated platelet cytosolic Ca2+,Reactome,48,VEGFC;A1BG;TGFB2;MMRN1;QSOX1;HGF;ISLR;FLNA;ORM2;SELENOP;THBS1;TGFB3;VWF;FN1;PDGFB;TIMP3;RAB27B;ITIH3;PECAM1;GAS6;FGA;FGB;AHSG;CD63;LHFPL2;ENDOD1;TMSB4X;TOR4A;CLEC3B;ALB;TAGLN2;ACTN2;FGG;PLG;APOH;APP;ALDOA;HRG;ABCC4;F5;PCDH7;F8;CTSW;F13A1;KNG1;ITIH4;TTN;FERMT3,136 (136),6.72e-11,1.43e-08,0,,10 (11),1,1,1.64e-09,2.69e-07
Peroxisomal protein import,Reactome,30,EPHX2;PHYH;PECR;CROT;NUDT7;GSTK1;PEX5;LONP2;EHHADH;ACOX1;BAAT;AGXT;PIPOX;PEX1;SCP2;PEX7;PEX13;CAT;DDO;ACOT2;ECI2;IDH1;ACOT4;HAO1;HSD17B4;DECR2;CRAT;ACOX2;ACOX3;SLC27A2,64 (64),8.33e-11,1.7e-08,0,,1 (1),1,1,2.02e-09,3.14e-07
Valine Leucine Isoleucine degradation,INOH,20,IVD;ACAD11;ACADM;HADHA;PCCA;PCCB;ALDH6A1;BCAT1;ALDH3A2;ALDH1A2;HIBADH;HSD17B10;ALDH7A1;HMGCS2;MCCC2;HADHB;HADH;OXCT1;EHHADH;ALDH9A1,32 (32),1.43e-10,2.59e-08,0,,36 (40),1,1,3.39e-09,5.04e-07
Muscle contraction,Reactome,55,TPM1;TPM2;TRIM72;VIM;DES;CACNB1;TCAP;MYH7;MYH8;ACTN3;KCNE3;MYL2;MYL3;MYL4;CALD1;GUCY1A1;GUCY1B1;TMOD2;ANXA2;KCNQ1;SCN1B;SCN5A;TMOD1;KCNJ12;SCN4B;ACTA2;SCN7A;KCNK1;TNNI2;FXYD6;TMOD4;MYLPF;ACTG2;LMOD1;KCNK6;KCNK13;ACTN2;MYBPC2;ATP1A2;NEB;DMPK;DYSF;TNNT3;MYL1;NPR1;TTN;ATP2A1;ATP2B4;CACNA1C;RYR1;ATP2A3;TRDN;SCN3B;MYBPC1;ITPR3,174 (174),3.56e-10,5.74e-08,0,,15 (16),1,1,8.1e-09,1.15e-06
Glycine_ serine and threonine metabolism - Homo sapiens (human),KEGG,21,MAOB;GLDC;PIPOX;AGXT2;DMGDH;PGAM2;SDSL;CTH;AGXT;BHMT;SDS;SRR;AMT;CHDH;CBS;ALDH7A1;SHMT1;ALAS1;SARDH;GLYCTK;AOC3,40 (40),4.29e-09,6.28e-07,1,HMDB0000128,42 (50),0.29,1,2.67e-08,3.62e-06
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway,Wikipathways,75,VEGFC;COL3A1;GHR;TNC;COL4A2;COL4A4;COL5A1;COL5A2;COL6A2;DDIT4;THBS1;ITGB4;FLT4;NOS3;IGF1R;ITGA8;VWF;ANGPT1;COMP;ITGA3;PDGFB;PDGFRA;LAMA4;IKBKG;PDGFRB;SPP1;FGF2;SLC2A2;GNG11;LAMC3;FN1;FGF21;GYS2;PRKAA2;HGF;VTN;NGF;NGFR;PDGFD;FGF1;ITGA6;LAMB1;LAMB2;LAMB3;LAMC1;CHAD;LAMC2;KDR;CAB39L;LAMA5;ITGAL;FGFR1;PFKFB1;PFKFB2;PFKFB4;CREB3L3;ITGA5;TEK;GNG2;KIT;IL2RB;GNGT2;COL4A1;IL3RA;TNXB;ITGB6;ITGB7;ITGB8;PRLR;SLC2A4;ITGB2;LAMA2;COL1A1;COL1A2;PIK3IP1,302 (302),4.91e-08,3.9e-06,0,,0 (2),1,1,4.91e-08,3.9e-06
Propanoate metabolism - Homo sapiens (human),KEGG,19,SUCLG2;SUCLG1;LDHA;HADHA;ACAT1;PCCA;PCCB;ALDH6A1;EHHADH;BCKDHB;ABAT;ACOX1;ACSS1;HIBCH;ECHDC1;LDHB;ACOX3;ACSS3;DBT,34 (34),5.95e-09,8.41e-07,1,HMDB0006805,38 (48),0.266,1,3.37e-08,4.37e-06
Elastic fibre formation,Reactome,18,FBLN1;TGFB2;TGFB3;ITGA8;BMP10;LTBP4;BMP2;ITGB6;MFAP4;ITGB8;FBN1;LTBP1;LTBP2;LTBP3;FBLN2;VTN;FBLN5;ITGA5,35 (35),8.43e-08,5.41e-06,0,,0 (1),1,1,8.43e-08,5.41e-06
