pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Zellweger Syndrome,SMPDB,5,CYP27A1;CYP8B1;CYP7B1;SLC27A5;AKR1D1,17 (17),5.9e-08,2.13e-05,1,HMDB0000036,58 (64),0.377,1,4.15e-07,3.68e-05
Familial Hypercholanemia (FHCA),SMPDB,5,CYP27A1;CYP8B1;CYP7B1;SLC27A5;AKR1D1,17 (17),5.9e-08,2.13e-05,1,HMDB0000036,58 (64),0.377,1,4.15e-07,3.68e-05
Congenital Bile Acid Synthesis Defect Type III,SMPDB,5,CYP27A1;CYP8B1;CYP7B1;SLC27A5;AKR1D1,17 (17),5.9e-08,2.13e-05,1,HMDB0000036,58 (64),0.377,1,4.15e-07,3.68e-05
Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,Reactome,5,SLC27A5;CYP27A1;CYP7B1;AKR1D1;CYP8B1,20 (20),1.46e-07,4.87e-05,1,HMDB0000036,43 (49),0.295,1,7.73e-07,6.36e-05
Metapathway biotransformation Phase I and II,Wikipathways,10,COMT;GSTM3;GSTM4;HNMT;CYP7B1;CYP8B1;INMT;UGT2A3;CYP27A1;AKR1D1,186 (186),3.23e-07,9.45e-05,0,,0 (0),1,1,3.23e-07,9.45e-05
Bile acid and bile salt metabolism,Reactome,6,CYP7B1;CYP8B1;SLC27A5;CYP27A1;SLC10A1;AKR1D1,43 (43),3.12e-07,9.45e-05,1,HMDB0000036,59 (79),0.382,1,2.02e-06,0.000155
Synthesis of bile acids and bile salts,Reactome,5,SLC27A5;CYP27A1;CYP7B1;AKR1D1;CYP8B1,30 (30),1.27e-06,0.000313,1,HMDB0000036,55 (75),0.362,1,7.18e-06,0.000497
Cholesterol metabolism (includes both Bloch and Kandutsch-Russell pathways),Wikipathways,6,ACSL1;TM7SF2;FASN;MVK;CYP27A1;LBR,46 (46),4.71e-07,0.00013,0,,4 (4),1,1,7.34e-06,0.000497
Synthesis of bile acids and bile salts via 27-hydroxycholesterol,Reactome,4,CYP27A1;CYP7B1;AKR1D1;CYP8B1,11 (11),5.23e-07,0.000136,0,,14 (16),1,1,8.09e-06,0.000518
bile acid biosynthesis_ neutral pathway,HumanCyc,4,SLC27A5;CYP27A1;AKR1D1;CYP8B1,15 (15),2.12e-06,0.000451,1,HMDB0000036,38 (44),0.266,1,8.68e-06,0.000526
Farnesoid X receptor pathway,Wikipathways,4,SLC10A1;CYP8B1;SLC27A5;SLCO2B1,19 (19),5.9e-06,0.000854,0,,0 (1),1,1,5.9e-06,0.000854
Nuclear Receptors Meta-Pathway,Wikipathways,11,GSTM3;EGFR;FASN;ME1;SLCO2B1;CYP8B1;APOA2;SLC2A2;SLC27A5;GSTM4;SLC10A1,317 (317),6.02e-06,0.000854,0,,0 (0),1,1,6.02e-06,0.000854
Synthesis of bile acids and bile salts via 24-hydroxycholesterol,Reactome,4,SLC27A5;CYP27A1;AKR1D1;CYP8B1,14 (14),1.56e-06,0.000366,0,,20 (29),1,1,2.25e-05,0.00129
Oxysterols derived from cholesterol,Wikipathways,4,CYP27A1;CYP8B1;SLC27A5;AKR1D1,15 (15),2.12e-06,0.000451,0,,5 (10),1,1,2.98e-05,0.00164
Pyruvate metabolism,INOH,5,LDHD;PKLR;ALDH7A1;ACSS2;ME1,34 (34),2.43e-06,0.000495,0,,30 (31),1,1,3.39e-05,0.00178
Sialuria or French Type Sialuria,SMPDB,4,NPL;HEXA;AMDHD2;GFPT1,17 (17),3.66e-06,0.000591,0,,31 (32),1,1,4.95e-05,0.00204
Sialuria or French Type Sialuria,SMPDB,4,NPL;HEXA;AMDHD2;GFPT1,17 (17),3.66e-06,0.000591,0,,31 (32),1,1,4.95e-05,0.00204
Amino Sugar Metabolism,SMPDB,4,NPL;HEXA;AMDHD2;GFPT1,17 (17),3.66e-06,0.000591,0,,31 (32),1,1,4.95e-05,0.00204
G(M2)-Gangliosidosis: Variant B_ Tay-sachs disease,SMPDB,4,NPL;HEXA;AMDHD2;GFPT1,17 (17),3.66e-06,0.000591,0,,31 (32),1,1,4.95e-05,0.00204
Tay-Sachs Disease,SMPDB,4,NPL;HEXA;AMDHD2;GFPT1,17 (17),3.66e-06,0.000591,0,,31 (32),1,1,4.95e-05,0.00204
Salla Disease/Infantile Sialic Acid Storage Disease,SMPDB,4,NPL;HEXA;AMDHD2;GFPT1,17 (17),3.66e-06,0.000591,0,,31 (32),1,1,4.95e-05,0.00204
Endogenous sterols,Reactome,4,CYP27A1;CYP7B1;FDX1;CYP8B1,18 (18),4.68e-06,0.000731,0,,31 (40),1,1,6.22e-05,0.00247
PPAR signaling pathway,Wikipathways,6,ACSL1;ME1;CYP8B1;APOA2;SLC27A5;CYP27A1,68 (68),4.92e-06,0.000742,0,,1 (7),1,1,6.5e-05,0.0025
Butanoate metabolism - Homo sapiens (human),KEGG,4,AACS;ABAT;ACSM5;ACSM1,28 (28),2.98e-05,0.00279,1,HMDB0001290,28 (42),0.203,1,7.9e-05,0.00293
Tryptophan metabolism - Homo sapiens (human),KEGG,5,INMT;HAAO;IDO2;AOX1;ALDH7A1,42 (42),7.14e-06,0.000984,0,,59 (83),1,1,9.18e-05,0.00331
PPAR signaling pathway - Homo sapiens (human),KEGG,6,ACSL1;ME1;CYP8B1;APOA2;SLC27A5;CYP27A1,74 (76),8.07e-06,0.00108,0,,5 (5),1,1,0.000103,0.00357
beta-Alanine metabolism - Homo sapiens (human),KEGG,4,ABAT;ALDH7A1;UPB1;DPYS,30 (30),3.95e-05,0.00363,1,HMDB0006805,29 (32),0.21,1,0.000105,0.00357
Pyruvate Dehydrogenase Complex Deficiency,SMPDB,4,PKLR;ME1;ACSS2;LDHD,22 (22),1.1e-05,0.00125,0,,43 (46),1,1,0.000136,0.00393
Primary hyperoxaluria II_ PH2,SMPDB,4,PKLR;ME1;ACSS2;LDHD,22 (22),1.1e-05,0.00125,0,,43 (46),1,1,0.000136,0.00393
Pyruvate kinase deficiency,SMPDB,4,PKLR;ME1;ACSS2;LDHD,22 (22),1.1e-05,0.00125,0,,43 (46),1,1,0.000136,0.00393
Leigh Syndrome,SMPDB,4,PKLR;ME1;ACSS2;LDHD,22 (22),1.1e-05,0.00125,0,,43 (46),1,1,0.000136,0.00393
Pyruvate Metabolism,SMPDB,4,PKLR;ME1;ACSS2;LDHD,22 (22),1.1e-05,0.00125,0,,43 (46),1,1,0.000136,0.00393
Pyruvate Decarboxylase E1 Component Deficiency (PDHE1 Deficiency),SMPDB,4,PKLR;ME1;ACSS2;LDHD,22 (22),1.1e-05,0.00125,0,,43 (46),1,1,0.000136,0.00393
Pyruvate metabolism - Homo sapiens (human),KEGG,5,LDHD;ME1;ALDH7A1;ACSS2;PKLR,47 (47),1.26e-05,0.0014,0,,26 (32),1,1,0.000154,0.00434
Valine_ leucine and isoleucine degradation - Homo sapiens (human),KEGG,5,AOX1;ABAT;ACADSB;ALDH7A1;AACS,48 (48),1.39e-05,0.00148,0,,34 (42),1,1,0.00017,0.00455
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),KEGG,5,NPL;HEXA;AMDHD2;GCK;GFPT1,48 (48),1.39e-05,0.00148,0,,49 (108),1,1,0.00017,0.00455
Methylation Pathways,Wikipathways,3,COMT;INMT;HNMT,9 (9),2.14e-05,0.00205,0,,5 (5),1,1,0.000252,0.00604
Carnosinuria_ carnosinemia,SMPDB,3,ABAT;UPB1;DPYS,9 (9),2.14e-05,0.00205,0,,34 (34),1,1,0.000252,0.00604
Ureidopropionase deficiency,SMPDB,3,ABAT;UPB1;DPYS,9 (9),2.14e-05,0.00205,0,,34 (34),1,1,0.000252,0.00604
GABA-Transaminase Deficiency,SMPDB,3,ABAT;UPB1;DPYS,9 (9),2.14e-05,0.00205,0,,34 (34),1,1,0.000252,0.00604
Beta-Alanine Metabolism,SMPDB,3,ABAT;UPB1;DPYS,9 (9),2.14e-05,0.00205,0,,34 (34),1,1,0.000252,0.00604
Phase I - Functionalization of compounds,Reactome,6,CYP7B1;CYP8B1;BPHL;FDX1;CYP27A1;ACSS2,101 (101),4.8e-05,0.00432,1,HMDB0001860,143 (191),0.695,1,0.000377,0.00887
Phase II - Conjugation of compounds,Reactome,6,COMT;GSTM3;GSTM4;ACSM5;UGT2A3;ACSM1,111 (111),8.15e-05,0.00693,1,HMDB0001860,115 (149),0.613,1,0.000545,0.0126
Pathways in clear cell renal cell carcinoma,Wikipathways,5,LDHD;PKLR;FASN;EGFR;ME1,86 (86),0.000234,0.0153,0,,0 (1),1,1,0.000234,0.0153
Valproic acid pathway,Wikipathways,3,ABAT;ACADSB;ACSM1,13 (13),7.16e-05,0.00621,0,,14 (14),1,1,0.000755,0.0167
eicosapentaenoate biosynthesis,HumanCyc,3,ACSL1;ACSM5;ACSM1,13 (13),7.16e-05,0.00621,0,,13 (17),1,1,0.000755,0.0167
&gamma;-linolenate biosynthesis,HumanCyc,3,ACSL1;ACSM5;ACSM1,14 (14),9.07e-05,0.00758,0,,9 (9),1,1,0.000935,0.0203
Pyrimidine nucleotides nucleosides metabolism,INOH,4,ABAT;CTPS1;UPB1;DPYS,51 (51),0.000325,0.0208,1,HMDB0000273,53 (56),0.351,1,0.00115,0.0245
uracil degradation,HumanCyc,2,UPB1;DPYS,3 (3),0.000124,0.01,0,,10 (10),1,1,0.00124,0.0255
thymine degradation,HumanCyc,2,UPB1;DPYS,3 (3),0.000124,0.01,0,,10 (10),1,1,0.00124,0.0255
Tryptophan metabolism,Wikipathways,4,CYP7B1;HAAO;AOX1;INMT,42 (42),0.000152,0.0121,0,,30 (38),1,1,0.00149,0.0282
Pyrimidine Metabolism,SMPDB,3,DPYS;UPB1;CTPS1,23 (23),0.000423,0.0244,1,HMDB0000273,56 (57),0.367,1,0.00152,0.0282
UMP Synthase Deiciency (Orotic Aciduria),SMPDB,3,DPYS;UPB1;CTPS1,23 (23),0.000423,0.0244,1,HMDB0000273,56 (57),0.367,1,0.00152,0.0282
MNGIE (Mitochondrial Neurogastrointestinal Encephalopathy),SMPDB,3,DPYS;UPB1;CTPS1,23 (23),0.000423,0.0244,1,HMDB0000273,56 (57),0.367,1,0.00152,0.0282
Beta Ureidopropionase Deficiency,SMPDB,3,DPYS;UPB1;CTPS1,23 (23),0.000423,0.0244,1,HMDB0000273,56 (57),0.367,1,0.00152,0.0282
Dihydropyrimidinase Deficiency,SMPDB,3,DPYS;UPB1;CTPS1,23 (23),0.000423,0.0244,1,HMDB0000273,56 (57),0.367,1,0.00152,0.0282
Drug metabolism - other enzymes - Homo sapiens (human),KEGG,5,GSTM3;GSTM4;UPB1;UGT2A3;DPYS,80 (80),0.000166,0.0126,0,,39 (52),1,1,0.00162,0.0287
Nitrogen metabolism - Homo sapiens (human),KEGG,3,CA3;CA5A;CA8,17 (17),0.000167,0.0126,0,,16 (19),1,1,0.00162,0.0287
Butanoate metabolism,INOH,3,AACS;ACSM1;ACSS2,17 (17),0.000167,0.0126,0,,21 (23),1,1,0.00162,0.0287
Glycogen synthetase deficiency,SMPDB,3,GBE1;PYGL;GCK,18 (18),0.0002,0.0134,0,,29 (29),1,1,0.0019,0.03
Glycogenosis_ Type III. Cori disease_ Debrancher glycogenosis,SMPDB,3,GBE1;PYGL;GCK,18 (18),0.0002,0.0134,0,,29 (29),1,1,0.0019,0.03
Mucopolysaccharidosis VI. Sly syndrome,SMPDB,3,GBE1;PYGL;GCK,18 (18),0.0002,0.0134,0,,29 (29),1,1,0.0019,0.03
Sucrase-isomaltase deficiency,SMPDB,3,GBE1;PYGL;GCK,18 (18),0.0002,0.0134,0,,29 (29),1,1,0.0019,0.03
Glycogenosis_ Type IV. Amylopectinosis_ Anderson disease,SMPDB,3,GBE1;PYGL;GCK,18 (18),0.0002,0.0134,0,,29 (29),1,1,0.0019,0.03
Glycogenosis_ Type VI. Hers disease,SMPDB,3,GBE1;PYGL;GCK,18 (18),0.0002,0.0134,0,,29 (29),1,1,0.0019,0.03
Starch and Sucrose Metabolism,SMPDB,3,GBE1;PYGL;GCK,18 (18),0.0002,0.0134,0,,29 (29),1,1,0.0019,0.03
Glycolysis Gluconeogenesis,INOH,4,LDHD;PKLR;GCK;ME1,45 (46),0.0002,0.0134,0,,32 (34),1,1,0.0019,0.03
Activation of gene expression by SREBF (SREBP),Reactome,3,FASN;TM7SF2;MVK,26 (26),0.000612,0.0319,0,,0 (0),1,1,0.000612,0.0319
Maturity onset diabetes of the young - Homo sapiens (human),KEGG,3,PKLR;SLC2A2;GCK,26 (26),0.000612,0.0319,0,,0 (0),1,1,0.000612,0.0319
Tryptophan Metabolism,SMPDB,3,INMT;HAAO;AOX1,19 (19),0.000236,0.0153,0,,58 (60),1,1,0.00221,0.0343
Cytochrome P450 - arranged by substrate type,Reactome,4,CYP27A1;CYP7B1;FDX1;CYP8B1,57 (57),0.000499,0.0285,1,HMDB0001860,87 (120),0.511,1,0.00236,0.0363
Metabolism of amino acids and derivatives,Reactome,9,GNMT;ACADSB;HNMT;ASPG;HAAO;IDO2;INMT;CSAD;ALDH7A1,339 (339),0.000339,0.0214,1,HMDB0000128,222 (286),0.847,1,0.00263,0.0398
Fatty Acid Biosynthesis,Wikipathways,3,FASN;ACSL1;ACSS2,22 (22),0.00037,0.0231,0,,4 (14),1,1,0.00329,0.0492
Sphingolipid metabolism - Homo sapiens (human),KEGG,0,,49 (49),1,1,3,HMDB0010711;HMDB0006752;HMDB0013461,19 (25),0.000401,1,0.00354,0.0522
fatty acid &alpha;-oxidation,HumanCyc,2,ACSL1;HACL1,5 (5),0.000409,0.0244,0,,19 (20),1,1,0.0036,0.0525
Fatty acid metabolism,Reactome,6,PON1;HACL1;CYP8B1;FASN;NUDT7;ACSL1,176 (177),0.000975,0.0397,2,HMDB0010404;HMDB0002183,182 (257),0.436,1,0.00373,0.0537
superpathway of cholesterol biosynthesis,HumanCyc,3,LBR;TM7SF2;MVK,25 (25),0.000544,0.0296,0,,40 (62),1,1,0.00464,0.0636
Cholesterol biosynthesis,Reactome,3,LBR;TM7SF2;MVK,25 (25),0.000544,0.0296,0,,40 (46),1,1,0.00464,0.0636
Alanine Aspartate Asparagine metabolism,INOH,3,PKLR;ABAT;UPB1,25 (25),0.000544,0.0296,0,,39 (45),1,1,0.00464,0.0636
Disulfiram Action Pathway,SMPDB,3,COMT;HAAO;ACSS2,25 (25),0.000544,0.0296,0,,72 (77),1,1,0.00464,0.0636
pyrimidine ribonucleosides degradation,HumanCyc,2,UPB1;DPYS,6 (6),0.000611,0.0319,0,,14 (14),1,1,0.00514,0.0688
zymosterol biosynthesis,HumanCyc,2,LBR;TM7SF2,6 (6),0.000611,0.0319,0,,16 (22),1,1,0.00514,0.0688
Steroid hormone biosynthesis - Homo sapiens (human),KEGG,4,COMT;CYP7B1;AKR1D1;UGT2A3,61 (61),0.000646,0.0332,0,,87 (99),1,1,0.00539,0.0714
Insulin resistance - Homo sapiens (human),KEGG,5,GFPT1;SLC2A2;PYGL;SLC27A5;OGT,108 (108),0.00067,0.0341,0,,12 (20),1,1,0.00557,0.0729
Pyrimidine catabolism,Reactome,2,UPB1;DPYS,12 (12),0.00262,0.0937,1,HMDB0000273,37 (39),0.26,1,0.00565,0.0732
Peroxisome - Homo sapiens (human),KEGG,4,ACSL1;HACL1;MVK;NUDT7,82 (82),0.00195,0.0738,0,,0 (0),1,1,0.00195,0.0738
Recycling of bile acids and salts,Reactome,2,SLC10A1;SLC27A5,16 (16),0.00469,0.137,1,HMDB0000036,20 (20),0.15,1,0.0058,0.0742
tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,HumanCyc,2,HAAO;IDO2,7 (7),0.000852,0.0385,0,,12 (13),1,1,0.00688,0.0756
Tryptophan degradation,INOH,4,INMT;HAAO;AOX1;ALDH7A1,66 (66),0.000871,0.0385,0,,56 (62),1,1,0.00701,0.0756
Phosphatidylinositol Phosphate Metabolism,SMPDB,2,INPP5D;EGFR,23 (23),0.0096,0.201,1,HMDB0009888,12 (12),0.0926,1,0.00713,0.0756
Joubert syndrome,SMPDB,2,INPP5D;EGFR,23 (23),0.0096,0.201,1,HMDB0009888,12 (12),0.0926,1,0.00713,0.0756
Glycolysis / Gluconeogenesis - Homo sapiens (human),KEGG,4,PKLR;GCK;ACSS2;ALDH7A1,67 (67),0.000922,0.0385,0,,25 (31),1,1,0.00736,0.0756
3-Methylglutaconic Aciduria Type I,SMPDB,3,AOX1;ABAT;ACADSB,30 (30),0.000939,0.0385,0,,54 (58),1,1,0.00748,0.0756
Ascorbate and aldarate metabolism - Homo sapiens (human),KEGG,3,RGN;ALDH7A1;UGT2A3,30 (30),0.000939,0.0385,0,,28 (57),1,1,0.00748,0.0756
Fructose Mannose metabolism,INOH,3,GFPT1;KHK;GCK,30 (30),0.000939,0.0385,0,,28 (33),1,1,0.00748,0.0756
Valine_ Leucine and Isoleucine Degradation,SMPDB,3,AOX1;ABAT;ACADSB,30 (30),0.000939,0.0385,0,,54 (58),1,1,0.00748,0.0756
2-Methyl-3-Hydroxybutryl CoA Dehydrogenase Deficiency,SMPDB,3,AOX1;ABAT;ACADSB,30 (30),0.000939,0.0385,0,,54 (58),1,1,0.00748,0.0756
Isovaleric Aciduria,SMPDB,3,AOX1;ABAT;ACADSB,30 (30),0.000939,0.0385,0,,54 (58),1,1,0.00748,0.0756
3-Methylcrotonyl Coa Carboxylase Deficiency Type I,SMPDB,3,AOX1;ABAT;ACADSB,30 (30),0.000939,0.0385,0,,54 (58),1,1,0.00748,0.0756
Propionic Acidemia,SMPDB,3,AOX1;ABAT;ACADSB,30 (30),0.000939,0.0385,0,,54 (58),1,1,0.00748,0.0756
Maple Syrup Urine Disease,SMPDB,3,AOX1;ABAT;ACADSB,30 (30),0.000939,0.0385,0,,54 (58),1,1,0.00748,0.0756
3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,SMPDB,3,AOX1;ABAT;ACADSB,30 (30),0.000939,0.0385,0,,54 (58),1,1,0.00748,0.0756
Isobutyryl-coa dehydrogenase deficiency,SMPDB,3,AOX1;ABAT;ACADSB,30 (30),0.000939,0.0385,0,,54 (58),1,1,0.00748,0.0756
3-hydroxyisobutyric aciduria,SMPDB,3,AOX1;ABAT;ACADSB,30 (30),0.000939,0.0385,0,,54 (58),1,1,0.00748,0.0756
3-hydroxyisobutyric acid dehydrogenase deficiency,SMPDB,3,AOX1;ABAT;ACADSB,30 (30),0.000939,0.0385,0,,54 (58),1,1,0.00748,0.0756
Isovaleric acidemia,SMPDB,3,AOX1;ABAT;ACADSB,30 (30),0.000939,0.0385,0,,54 (58),1,1,0.00748,0.0756
Methylmalonate Semialdehyde Dehydrogenase Deficiency,SMPDB,3,AOX1;ABAT;ACADSB,30 (30),0.000939,0.0385,0,,54 (58),1,1,0.00748,0.0756
Methylmalonic Aciduria,SMPDB,3,AOX1;ABAT;ACADSB,30 (30),0.000939,0.0385,0,,54 (58),1,1,0.00748,0.0756
3-Methylglutaconic Aciduria Type IV,SMPDB,3,AOX1;ABAT;ACADSB,30 (30),0.000939,0.0385,0,,54 (58),1,1,0.00748,0.0756
3-Methylglutaconic Aciduria Type III,SMPDB,3,AOX1;ABAT;ACADSB,30 (30),0.000939,0.0385,0,,54 (58),1,1,0.00748,0.0756
Beta-Ketothiolase Deficiency,SMPDB,3,AOX1;ABAT;ACADSB,30 (30),0.000939,0.0385,0,,54 (58),1,1,0.00748,0.0756
Regulation of cholesterol biosynthesis by SREBP (SREBF),Reactome,3,FASN;TM7SF2;MVK,31 (31),0.00103,0.0417,0,,1 (1),1,1,0.00814,0.0816
Diltiazem Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,2,HMDB0009888;HMDB0014487,11 (11),0.00325,1,0.00835,0.0829
Drug metabolism - cytochrome P450 - Homo sapiens (human),KEGG,4,AOX1;GSTM3;GSTM4;UGT2A3,70 (72),0.00109,0.0435,0,,83 (88),1,1,0.0085,0.0837
Synthesis of UDP-N-acetyl-glucosamine,Reactome,2,GFPT1;AMDHD2,8 (8),0.00113,0.0449,0,,18 (21),1,1,0.00881,0.086
One-carbon metabolism and related pathways,Wikipathways,3,GNMT;GPX7;CSAD,52 (52),0.00461,0.137,1,HMDB0000036,37 (42),0.26,1,0.00926,0.0897
tryptophan degradation,HumanCyc,2,HAAO;IDO2,9 (9),0.00145,0.0556,0,,21 (22),1,1,0.0109,0.102
Conjugation of carboxylic acids,Reactome,2,ACSM5;ACSM1,9 (9),0.00145,0.0556,0,,12 (16),1,1,0.0109,0.102
Amino Acid conjugation,Reactome,2,ACSM5;ACSM1,9 (9),0.00145,0.0556,0,,12 (16),1,1,0.0109,0.102
Metabolism of ingested SeMet_ Sec_ MeSec into H2Se,Reactome,2,GNMT;HNMT,9 (9),0.00145,0.0556,0,,30 (33),1,1,0.0109,0.102
FOXA2 and FOXA3 transcription factor networks,PID,3,PKLR;SLC2A2;GCK,45 (45),0.00306,0.103,0,,0 (0),1,1,0.00306,0.103
7-oxo-C and 7beta-HC pathways,Wikipathways,2,CYP27A1;SLC27A5,13 (13),0.00309,0.103,0,,0 (0),1,1,0.00309,0.103
Starch and sucrose metabolism - Homo sapiens (human),KEGG,3,GBE1;PYGL;GCK,36 (36),0.00161,0.0611,0,,16 (37),1,1,0.0119,0.111
Splicing factor NOVA regulated synaptic proteins,Wikipathways,1,EPB41L1,42 (42),0.239,1,1,HMDB0009888,1 (1),0.00805,1,0.014,0.129
Pyrimidine metabolism - Homo sapiens (human),KEGG,3,CTPS1;UPB1;DPYS,57 (57),0.00597,0.161,1,HMDB0000273,49 (65),0.329,1,0.0142,0.13
Valproic Acid Metabolism Pathway,SMPDB,2,ACADSB;ACSM1,11 (11),0.0022,0.0822,0,,29 (30),1,1,0.0156,0.142
Cholesterol metabolism - Homo sapiens (human),KEGG,2,APOA2;CYP27A1,50 (50),0.0416,0.567,1,HMDB0000036,7 (10),0.055,1,0.0162,0.146
Omega-9 FA synthesis,Wikipathways,2,FASN;ACSL1,12 (12),0.00262,0.0937,0,,1 (1),1,1,0.0182,0.158
Reversible hydration of carbon dioxide,Reactome,2,CA3;CA5A,12 (12),0.00262,0.0937,0,,4 (5),1,1,0.0182,0.158
NAD <i>de novo</i> biosynthesis,HumanCyc,2,HAAO;IDO2,12 (12),0.00262,0.0937,0,,23 (24),1,1,0.0182,0.158
Trehalose Degradation,SMPDB,2,SLC2A2;GCK,12 (12),0.00262,0.0937,0,,10 (10),1,1,0.0182,0.158
Oxidation of Branched Chain Fatty Acids,SMPDB,2,ACSL1;HACL1,12 (12),0.00262,0.0937,0,,23 (25),1,1,0.0182,0.158
Metabolism of Spingolipids in ER and Golgi apparatus,Wikipathways,0,,12 (12),1,1,2,HMDB0010711;HMDB0006752,10 (21),0.00267,1,0.0185,0.159
Fatty acid degradation - Homo sapiens (human),KEGG,3,ACADSB;ACSL1;ALDH7A1,43 (43),0.00269,0.0952,0,,40 (50),1,1,0.0186,0.159
Glycolysis and Gluconeogenesis,Wikipathways,3,PKLR;SLC2A2;GCK,45 (45),0.00306,0.103,0,,14 (18),1,1,0.0208,0.167
cholesterol biosynthesis III (via desmosterol),HumanCyc,2,LBR;TM7SF2,13 (13),0.00309,0.103,0,,24 (32),1,1,0.0209,0.167
L-kynurenine degradation,HumanCyc,2,HAAO;IDO2,13 (13),0.00309,0.103,0,,29 (30),1,1,0.0209,0.167
cholesterol biosynthesis I,HumanCyc,2,LBR;TM7SF2,13 (13),0.00309,0.103,0,,24 (32),1,1,0.0209,0.167
cholesterol biosynthesis II (via 24_25-dihydrolanosterol),HumanCyc,2,LBR;TM7SF2,13 (13),0.00309,0.103,0,,19 (32),1,1,0.0209,0.167
sarcosine oncometabolite pathway ,SMPDB,2,GNMT;ALDH7A1,13 (13),0.00309,0.103,0,,25 (26),1,1,0.0209,0.167
Fabry disease,SMPDB,0,,22 (22),1,1,3,HMDB0010711;HMDB0013461;HMDB0006752,38 (40),0.00316,1,0.0214,0.167
Sphingolipid Metabolism,SMPDB,0,,22 (22),1,1,3,HMDB0010711;HMDB0013461;HMDB0006752,38 (40),0.00316,1,0.0214,0.167
